gamma_true,n_budget,strategy,n_reps,n_cal,p_infinite,coverage_mean,coverage_sd,width_mean,width_sd,width_q25,width_q75,cov_at_d3_mean,gamma_hat_mean,gamma_hat_median,share_gamma_zero,width_vs_oracle
0.0,400,marginal,2000,400,0.0,0.9498222086763057,0.010954225735180591,3.933961170201592,0.1872097974000046,3.8076422773701966,4.060240069390334,0.9498222086763055,,,,1.0
0.0,400,oracle_shape,2000,400,0.0,0.9498222086763057,0.010954225735180591,3.933961170201592,0.1872097974000046,3.8076422773701966,4.060240069390334,0.9498222086763055,,,,1.0
0.0,400,tuned_split,2000,240,0.0,0.9502315354404764,0.0140527719718848,3.995916828198263,0.2651876604303717,3.8120148813702706,4.168056281020011,0.9692760003367311,0.07220833333333333,0.0,0.5825,1.0157489246375802
0.0,800,fixed_g1,2000,800,0.0,0.9497592057796562,0.0075548552320741985,4.640127386499966,0.1806262499545259,4.51807651325313,4.763243070597472,0.999999991134564,,,,1.1811254582119477
0.0,800,marginal,2000,800,0.0,0.9500050285338241,0.007711889960162629,3.9285643656554865,0.1323738908224477,3.8417245484665945,4.015475194526179,0.950005028533824,,,,1.0
0.0,800,oracle_shape,2000,800,0.0,0.9500050285338241,0.007711889960162629,3.9285643656554865,0.1323738908224477,3.8417245484665945,4.015475194526179,0.950005028533824,,,,1.0
0.0,800,tuned_split,2000,480,0.0,0.9500532541399894,0.009662459349768306,3.9587882242769763,0.1734377655130491,3.8418046701396027,4.0761338896118,0.9669285025491703,0.04758333333333333,0.0,0.6245,1.0076933596623017
0.0,1600,fixed_g1,2000,1600,0.0,0.9500106672133095,0.005475611387285429,4.640540820270384,0.131769695161602,4.547164714887743,4.7270641127964605,0.9999999940176465,,,,1.1822781039233012
0.0,1600,marginal,2000,1600,0.0,0.9500500006257843,0.005475624298018864,3.9250839585636386,0.09373125265812074,3.8613076157329584,3.9883375430822867,0.9500500006257842,,,,1.0
0.0,1600,oracle_shape,2000,1600,0.0,0.9500500006257843,0.005475624298018864,3.9250839585636386,0.09373125265812074,3.8613076157329584,3.9883375430822867,0.9500500006257842,,,,1.0
